"CONCEPT_CD","CNT"
"CPT4:74220",16502
"CPT4:76377",16472
"CPT4:77001",16397
"CPT4:86235",16365
"CPT4:93971",16238
"CPT4:90935",16202
"CPT4:81479",16201
"CPT4:29450",16157
"CPT4:95251",16133
"CPT4:D9239",16060
"CPT4:88182",16059
"CPT4:J2020",16052
"CPT4:J7512",16048
"CPT4:87252",16045
"CPT4:82009",16039
"CPT4:S0090",15955
"CPT4:J7042",15881
"CPT4:87591",15706
"CPT4:93566",15644
"CPT4:86038",15614
"CPT4:77080",15585
"CPT4:29405",15519
"CPT4:93565",15509
"CPT4:84484",15499
"CPT4:D0150",15419
"CPT4:J1580",15409
"CPT4:Q0144",15376
"CPT4:44970",15352
"CPT4:D2391",15349
"CPT4:J0289",15340
"CPT4:99255",15303
"CPT4:51784",15261
"CPT4:93227",15234
"CPT4:84630",15227
"CPT4:73550",15195
"CPT4:82627",15159
"CPT4:86359",15127
"CPT4:49500",15084
"CPT4:83880",15057
"CPT4:A9579",15017
"CPT4:86774",14983
"CPT4:76390",14945
"CPT4:99475",14907
"CPT4:95076",14848
"CPT4:78597",14847
"CPT4:87177",14802
"CPT4:88161",14716
"CPT4:82397",14715
"CPT4:J2700",14702
"CPT4:93018",14661
"CPT4:54163",14659
"CPT4:86880",14617
"CPT4:84133",14602
"CPT4:76800",14580
"CPT4:64642",14532
"CPT4:P9037",14480
"CPT4:S0171",14428
"CPT4:D0230",14368
"CPT4:83901",14360
"CPT4:72142",14326
"CPT4:92504",14320
"CPT4:87427",14299
"CPT4:82962",14252
"CPT4:J1570",14229
"CPT4:96450",14206
"CPT4:92226",14199
"CPT4:96101",14197
"CPT4:90734",14130
"CPT4:90806",14075
"CPT4:36555",14051
"CPT4:29065",14048
"CPT4:97162",14032
"CPT4:73660",13996
"CPT4:72147",13956
"CPT4:88291",13842
"CPT4:93315",13710
"CPT4:74240",13702
"CPT4:J2720",13616
"CPT4:99070",13603
"CPT4:67311",13564
"CPT4:82542",13540
"CPT4:72149",13535
"CPT4:87300",13492
"CPT4:90792",13484
"CPT4:D7230",13457
"CPT4:94729",13415
"CPT4:C9285",13391
"CPT4:87102",13341
"CPT4:87529",13324
"CPT4:80184",13293
"CPT4:99383",13272
"CPT4:71250",13265
"CPT4:92523",13257
"CPT4:84590",13235
"CPT4:75565",13109
"CPT4:70250",13087
"CPT4:77073",13074
"CPT4:92134",13066
"CPT4:51728",12940
"CPT4:90473",12928
"CPT4:83909",12894
"CPT4:J9100",12876
"CPT4:83631",12870
"CPT4:87340",12837
"CPT4:90713",12784
"CPT4:S0030",12777
"CPT4:90945",12761
"CPT4:76604",12737
"CPT4:86706",12714
"CPT4:J7070",12684
"CPT4:84446",12549
"CPT4:83919",12507
"CPT4:75827",12499
"CPT4:73700",12481
"CPT4:87075",12459
"CPT4:31624",12369
"CPT4:82436",12360
"CPT4:99225",12331
"CPT4:A0425",12310
"CPT4:90649",12307
"CPT4:99382",12277
"CPT4:88271",12250
"CPT4:71555",12239
"CPT4:36568",12177
"CPT4:88302",12138
"CPT4:83892",12117
"CPT4:J1956",12100
"CPT4:P9022",12082
"CPT4:J1561",12073
"CPT4:36430",12064
"CPT4:92551",12056
"CPT4:D0330",12034
"CPT4:29888",12018
"CPT4:J3465",12001
"CPT4:99157",11935
"CPT4:83010",11919
"CPT4:A0434",11915
"CPT4:83021",11901
"CPT4:C1768",11894
"CPT4:J0461",11872
"CPT4:86376",11857
"CPT4:J0706",11822
"CPT4:24538",11784
"CPT4:83525",11757
"CPT4:75820",11680
"CPT4:D1110",11646
"CPT4:90862",11590
"CPT4:84146",11552
"CPT4:82103",11526
"CPT4:95873",11485
"CPT4:88262",11471
"CPT4:95720",11442
"CPT4:92506",11441
"CPT4:84466",11430
"CPT4:82525",11408
"CPT4:92997",11386
"CPT4:73718",11360
"CPT4:69990",11343
"CPT4:J2357",11315
"CPT4:J1442",11287
"CPT4:87209",11282
"CPT4:92018",11204
"CPT4:J2690",11171
"CPT4:95813",11170
"CPT4:75557",11169
"CPT4:64643",11147
"CPT4:87206",11145
"CPT4:73522",11131
"CPT4:P9012",11051
"CPT4:J2370",10974
"CPT4:82017",10938
"CPT4:86147",10893
"CPT4:43760",10835
"CPT4:83935",10826
"CPT4:82043",10825
"CPT4:J0270",10824
"CPT4:83519",10824
"CPT4:99156",10808
"CPT4:84479",10806
"CPT4:94664",10789
"CPT4:86922",10761
"CPT4:99218",10713
"CPT4:99252",10681
"CPT4:17110",10659
"CPT4:99417",10645
"CPT4:86905",10633
"CPT4:85240",10620
"CPT4:51785",10612
"CPT4:92607",10611
"CPT4:J7520",10578
"CPT4:88275",10548
"CPT4:81229",10542
"CPT4:90715",10532
"CPT4:86800",10343
"CPT4:89230",10326
"CPT4:96119",10292
"CPT4:87116",10272
"CPT4:49505",10159
"CPT4:82670",10140
"CPT4:93225",10117
"CPT4:73221",10109
"CPT4:90651",10105
"CPT4:93226",10098
"CPT4:80195",10090
"CPT4:80177",10077
"CPT4:82746",9999
"CPT4:J9209",9991
"CPT4:A4344",9894
"CPT4:86481",9821
"CPT4:51792",9803
"CPT4:97003",9796
"CPT4:64644",9747
"CPT4:97813",9744
"CPT4:86803",9740
"CPT4:70480",9728
"CPT4:49465",9664
"CPT4:86644",9653
"CPT4:90710",9633
"CPT4:J2941",9597
"CPT4:73120",9587
"CPT4:72090",9572
"CPT4:96415",9513
"CPT4:J0585",9498
"CPT4:31525",9423
"CPT4:94680",9297
"CPT4:41010",9296
"CPT4:92998",9250
"CPT4:92340",9246
"CPT4:70491",9240
"CPT4:Q0167",9207
"CPT4:86920",9205
"CPT4:94618",9140
"CPT4:75561",9119
"CPT4:86341",9103
"CPT4:99478",9043
"CPT4:99465",9000
"CPT4:A9540",8992
"CPT4:38220",8964
"CPT4:75710",8954
"CPT4:82105",8925
"CPT4:86787",8902
"CPT4:72070",8842
"CPT4:93505",8820
"CPT4:Q2009",8760
"CPT4:86356",8753
"CPT4:83498",8740
"CPT4:12051",8711
"CPT4:74270",8702
"CPT4:82652",8651
"CPT4:82271",8641
"CPT4:85049",8619
"CPT4:37241",8559
"CPT4:D9420",8506
"CPT4:C9399",8484
"CPT4:80170",8479
"CPT4:95930",8475
"CPT4:99292",8421
"CPT4:84702",8397
"CPT4:99224",8374
"CPT4:43249",8327
"CPT4:84210",8297
"CPT4:92609",8274
"CPT4:72195",8267
"CPT4:86617",8245
"CPT4:92608",8228
"CPT4:86162",8221
"CPT4:82657",8164
"CPT4:86308",8138
"CPT4:90723",8125
"CPT4:D0240",8116
"CPT4:97112",8093
"CPT4:93533",8009
"CPT4:93017",8002
"CPT4:80500",7952
"CPT4:20611",7943
"CPT4:93563",7918
"CPT4:D7210",7912
"CPT4:J0713",7909
"CPT4:86256",7908
"CPT4:A9512",7879
"CPT4:90656",7871
"CPT4:90691",7840
"CPT4:76776",7825
"CPT4:84480",7807
"CPT4:78725",7801
"CPT4:83993",7784
"CPT4:92586",7698
"CPT4:93750",7690
"CPT4:96376",7687
"CPT4:76498",7602
"CPT4:D7280",7584
"CPT4:82960",7552
"CPT4:73502",7549
"CPT4:J2310",7512
"CPT4:43653",7510
"CPT4:78264",7469
"CPT4:85245",7442
"CPT4:86684",7387
"CPT4:17250",7377
"CPT4:64450",7371
"CPT4:D9995",7346
"CPT4:83890",7338
"CPT4:83721",7332
"CPT4:D0274",7281
"CPT4:53020",7280
"CPT4:99356",7271
"CPT4:D8670",7248
"CPT4:96401",7228
"CPT4:24640",7217
"CPT4:74181",7209
"CPT4:10060",7120
"CPT4:82491",7098
"CPT4:87220",7085
"CPT4:86960",7085
"CPT4:87425",7078
"CPT4:84255",7077
"CPT4:96116",7075
"CPT4:99401",7073
"CPT4:J9181",7036
"CPT4:50780",7012
"CPT4:88230",7007
"CPT4:G0009",7005
"CPT4:67312",6946
"CPT4:37242",6921
"CPT4:95816",6913
"CPT4:88162",6902
"CPT4:J3301",6897
"CPT4:88189",6891
"CPT4:90801",6863
"CPT4:93451",6850
"CPT4:83020",6828
"CPT4:72020",6826
"CPT4:90853",6823
"CPT4:C1762",6799
"CPT4:G0378",6787
"CPT4:91122",6757
"CPT4:94620",6738
"CPT4:87493",6737
"CPT4:J1455",6705
"CPT4:86580",6692
"CPT4:73723",6687
"CPT4:82390",6661
"CPT4:J0594",6637
"CPT4:D1330",6615
"CPT4:86611",6531
"CPT4:J7500",6529
"CPT4:01996",6528
"CPT4:80185",6496
"CPT4:82085",6485
"CPT4:99281",6448
"CPT4:80183",6437
"CPT4:86664",6430
"CPT4:90837",6421
"CPT4:72158",6394
"CPT4:97002",6356
"CPT4:D0350",6303
"CPT4:99354",6276
"CPT4:76010",6254
"CPT4:80192",6250
"CPT4:J9250",6240
"CPT4:J1120",6208
"CPT4:93653",6188
"CPT4:84540",6167
"CPT4:97760",6143
"CPT4:71275",6122
"CPT4:83051",6121
"CPT4:C1770",6087
"CPT4:78709",6081
"CPT4:J8501",6069
"CPT4:D2330",6063
"CPT4:J2540",6043
"CPT4:96111",6041
"CPT4:96139",6036
"CPT4:J9070",6022
"CPT4:76001",6017
"CPT4:87389",6013
"CPT4:91200",6011
"CPT4:31615",5998
"CPT4:78710",5979
"CPT4:90460",5966
"CPT4:86645",5946
"CPT4:88331",5935
"CPT4:72050",5933
"CPT4:38222",5923
"CPT4:86704",5915
"CPT4:94667",5889
"CPT4:D3220",5858
"CPT4:90660",5856
"CPT4:72156",5852
"CPT4:94761",5828
"CPT4:90378",5813
"CPT4:J7197",5786
"CPT4:70547",5781
"CPT4:78580",5764
"CPT4:42825",5760
"CPT4:J0735",5757
"CPT4:97116",5730
"CPT4:64645",5714
"CPT4:30901",5694
"CPT4:93530",5662
"CPT4:36557",5607
"CPT4:92225",5605
"CPT4:72157",5602
"CPT4:J1447",5594
"CPT4:J3430",5593
"CPT4:92605",5584
"CPT4:36569",5579
"CPT4:87272",5579
"CPT4:S0077",5574
"CPT4:88323",5519
"CPT4:90663",5518
"CPT4:P9047",5500
"CPT4:86663",5485
"CPT4:97165",5479
"CPT4:87147",5456
"CPT4:96138",5455
"CPT4:90655",5443
"CPT4:70540",5433
"CPT4:73720",5427
"CPT4:88309",5415
"CPT4:90785",5414
"CPT4:38221",5410
"CPT4:D2331",5397
"CPT4:58662",5393
"CPT4:26055",5380
"CPT4:52000",5378
"CPT4:D7283",5352
"CPT4:84376",5343
"CPT4:80180",5340
"CPT4:86694",5323
"CPT4:99384",5322
"CPT4:81243",5314
"CPT4:82951",5306
"CPT4:69424",5305
"CPT4:87305",5296
"CPT4:99251",5287
"CPT4:43762",5277
"CPT4:J0132",5234
"CPT4:12002",5228
"CPT4:78890",5225
"CPT4:97164",5209
"CPT4:99402",5185
"CPT4:95715",5174
"CPT4:C1730",5158
"CPT4:33641",5157
"CPT4:V2599",5157
"CPT4:90849",5153
"CPT4:29125",5149
"CPT4:A4618",5140
"CPT4:96367",5139
"CPT4:84270",5136
"CPT4:J0456",5126
"CPT4:J2515",5111
"CPT4:88346",5100
"CPT4:36556",5075
"CPT4:75894",5060
"CPT4:90634",5050
"CPT4:J9370",5049
"CPT4:19318",5048
"CPT4:86021",5033
"CPT4:43235",5032
"CPT4:D8660",5022
"CPT4:86592",5020
"CPT4:J0712",5011
"CPT4:96130",5009
"CPT4:78803",5006
"CPT4:93294",5002
"CPT4:J2916",4997
"CPT4:96150",4996
"CPT4:87269",4985
"CPT4:11442",4981
"CPT4:99149",4981
"CPT4:90685",4979
"CPT4:92502",4971
"CPT4:J2597",4964
"CPT4:68811",4960
"CPT4:92002",4955
"CPT4:73650",4949
"CPT4:99177",4944
"CPT4:92524",4943
"CPT4:J7599",4939
"CPT4:88348",4936
"CPT4:74245",4926
"CPT4:29345",4918
"CPT4:J0780",4908
"CPT4:97140",4880
"CPT4:J0583",4879
"CPT4:93970",4875
"CPT4:93298",4868
"CPT4:83883",4868
"CPT4:17107",4866
"CPT4:82157",4862
"CPT4:87181",4862
"CPT4:82024",4837
"CPT4:29882",4823
"CPT4:92602",4816
"CPT4:75605",4779
"CPT4:47000",4758
"CPT4:88188",4757
"CPT4:D0470",4711
"CPT4:J0330",4709
"CPT4:72193",4707
"CPT4:87338",4694
"CPT4:49446",4692
"CPT4:17108",4689
"CPT4:99241",4681
"CPT4:36589",4678
"CPT4:86146",4674
"CPT4:75573",4671
"CPT4:J3260",4671
"CPT4:J7515",4657
"CPT4:86431",4650
"CPT4:20610",4641
"CPT4:77076",4608
"CPT4:67335",4606
"CPT4:C1726",4566
"CPT4:78816",4564
"CPT4:75726",4559
"CPT4:17106",4559
"CPT4:84244",4549
"CPT4:88237",4545
"CPT4:70220",4515
"CPT4:84311",4514
"CPT4:27422",4510
"CPT4:99235",4506
"CPT4:87299",4506
"CPT4:G0010",4504
"CPT4:36590",4485
"CPT4:82507",4484
"CPT4:93288",4482
"CPT4:11900",4482
"CPT4:87498",4444
"CPT4:80175",4396
"CPT4:L3908",4395
"CPT4:64447",4391
"CPT4:86832",4385
"CPT4:95700",4374
"CPT4:86927",4374
"CPT4:87804",4373
"CPT4:14040",4358
"CPT4:86738",4347
"CPT4:64614",4342
"CPT4:69631",4318
"CPT4:90696",4315
"CPT4:11441",4312
"CPT4:86337",4306
"CPT4:86060",4301
"CPT4:67314",4295
"CPT4:35476",4277
"CPT4:54162",4269
"CPT4:86833",4265
"CPT4:88365",4259
"CPT4:J2930",4247
"CPT4:84105",4223
"CPT4:G0109",4201
"CPT4:49320",4199
"CPT4:76642",4191
"CPT4:81382",4171
"CPT4:72083",4146
"CPT4:21750",4141
"CPT4:45331",4128
"CPT4:99155",4125
"CPT4:76998",4121
"CPT4:92604",4118
"CPT4:70554",4103
"CPT4:93350",4098
"CPT4:76881",4095
"CPT4:83921",4087
"CPT4:88347",4084
"CPT4:97535",4079
"CPT4:93926",4075
"CPT4:86747",4070
"CPT4:83090",4038
"CPT4:82540",4036
"CPT4:82544",4022
"CPT4:87280",4014
"CPT4:88187",4007
"CPT4:82705",4002
"CPT4:J1955",4000
"CPT4:S0108",3995
"CPT4:97166",3972
"CPT4:31515",3955
"CPT4:75978",3940
"CPT4:86225",3927
"CPT4:76512",3923
"CPT4:75825",3887
"CPT4:88314",3884
"CPT4:78802",3881
"CPT4:49585",3870
"CPT4:90761",3856
"CPT4:92540",3851
"CPT4:37204",3843
"CPT4:93623",3840
"CPT4:D8080",3835
"CPT4:J0885",3822
"CPT4:C9254",3810
"CPT4:96131",3793
"CPT4:88360",3783
"CPT4:J0886",3772
"CPT4:25600",3771
